dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
NF-Corpus,BM25,PLAIN-761,breast pain,0.003684369000438892,0.16958010263680806,0.3333333333333333,0.16666666666666666,0.06666666666666667,0.15130120674940672,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.15130120674940672,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.15130120674940672,0.3333333333333333,0.16666666666666666,0.05555555555555555
NF-Corpus,BM25,PLAIN-771,bronchiolitis obliterans,0.0024050049996731104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NF-Corpus,BM25,PLAIN-782,Bush administration,0.002400065999609069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-792,cadaverine,0.001403883999955724,0.7227265726449519,1.0,0.5,0.6,0.644824486427155,1.0,0.5,0.5,0.644824486427155,1.0,0.5,0.5,0.644824486427155,1.0,0.5,0.5
NF-Corpus,BM25,PLAIN-806,caloric restriction,0.0023087179997673957,1.0,1.0,0.052083333333333336,1.0,0.857980942822373,1.0,0.08333333333333333,0.7621031746031746,0.7682812358792083,1.0,0.14583333333333334,0.6107472279182804,0.857980942822373,1.0,0.08333333333333333,0.7621031746031746
NF-Corpus,BM25,PLAIN-817,canker sores,0.0021125590001247474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-827,carcinogens,0.0017559269999765093,0.34519134224686937,0.5,0.00819672131147541,0.18,0.43808927588501717,0.5,0.020491803278688523,0.24555555555555558,0.5347626921511047,0.5,0.04918032786885246,0.33367552725911864,0.43808927588501717,0.5,0.020491803278688523,0.24555555555555558
NF-Corpus,BM25,PLAIN-838,carrageenan,0.0013876700004402664,1.0,1.0,0.5555555555555556,1.0,0.8550956239938448,1.0,0.7777777777777778,0.7777777777777778,0.8550956239938448,1.0,0.7777777777777778,0.7777777777777778,0.8550956239938448,1.0,0.7777777777777778,0.7777777777777778
NF-Corpus,BM25,PLAIN-850,cauliflower,0.0014077389996600687,1.0,1.0,0.08771929824561403,1.0,0.6489315753318465,1.0,0.08771929824561403,0.5,0.41879925010384716,1.0,0.08771929824561403,0.25,0.6489315753318465,1.0,0.08771929824561403,0.5
NF-Corpus,BM25,PLAIN-872,chanterelle mushrooms,0.002174408999962907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-882,Chernobyl,0.001319776999480382,0.5531464700081437,1.0,0.13333333333333333,0.4,0.3589542101716347,1.0,0.13333333333333333,0.2,0.27825165032414384,1.0,0.13333333333333333,0.13333333333333333,0.3589542101716347,1.0,0.13333333333333333,0.2
NF-Corpus,BM25,PLAIN-892,chickpeas,0.001209424999615294,1.0,1.0,0.05434782608695652,1.0,0.727329844310522,1.0,0.06521739130434782,0.6,0.46939493307846425,1.0,0.06521739130434782,0.3,0.727329844310522,1.0,0.06521739130434782,0.6
NF-Corpus,BM25,PLAIN-902,chlorophyll,0.0014405980000447016,0.6366824387328317,1.0,0.5,0.5,0.6366824387328317,1.0,0.5,0.5,0.6366824387328317,1.0,0.5,0.5,0.6366824387328317,1.0,0.5,0.5
